用例编号,所属产品,所属模块,相关需求,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),日志--搜索,"1.已登录系统级账号
2.日志内有多页产品记录","1.点击右上角搜索按钮
2.输入内容点击搜索","1.弹出搜索框
2.搜索出与内容匹配的日志信息",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),日志--“X”关闭,"1.已登录系统级账号
2.日志内有多页产品记录
3.已打开产品日志",1.鼠标点击右上角“X”,1.关闭弹框成功,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),日志--刷新,"1.已登录系统级账号
2.日志内有多页产品记录
3.已打开产品日志",1.鼠标点击刷新,1.刷新日志成功，获取所有日志信息,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),列表底部--向右翻页>,"1.已登录系统级账号
2.日志内有多页产品记录
3.已打开产品日志",1.点击列表底部向右翻页>,1.列表向右翻一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),列表底部--向左翻页<,"1.已登录系统级账号
2.日志内有多页产品记录
3.已打开产品日志",1.点击列表底部向左翻页<,1.列表向左翻一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),列表底部--向右翻页》,"1.已登录系统级账号
2.日志内有多页产品记录
3.已打开产品日志",1.点击列表底部向右翻页》,1.列表向右翻到最大页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),列表底部--向左翻页《,"1.已登录系统级账号
2.日志内有多页产品记录
3.已打开产品日志",1.点击列表底部向左翻页《,1.列表向左翻到第一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),列表底部--指定翻页（小于最大页）,"1.已登录系统级账号
2.日志内有多页产品记录
3.已打开产品日志",1.页数内输入小于最大页数整数,1.直接跳转到指定页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),列表底部--指定翻页（等于最大页）,"1.已登录系统级账号
2.日志内有多页产品记录
3.已打开产品日志",1.页数内输入最大页数整数,1.直接跳转到最后一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),列表底部--指定翻页（大于最大页）,"1.已登录系统级账号
2.日志内有多页产品记录
3.已打开产品日志",1.页数内输入大于最大页数整数,1.直接跳转到最后一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),列表底部--指定翻页（非数字）,"1.已登录系统级账号
2.日志内有多页产品记录
3.已打开产品日志",1.页数内输入大写数字,1.不可输入,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),操作--推荐普通（原推荐状态为未推荐）,"1.已登录系统级账号
2.已进入产品推荐页面
3.已有产品，状态未推荐","1.点击产品右侧操作
2.选中推荐普通","1.下拉显示推荐普通+推荐精选+取消推荐
2.推荐成功，列表推荐状态为“推荐”",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),操作--推荐普通（原推荐状态为推荐）,"1.已登录系统级账号
2.已进入产品推荐页面
3.已有产品，状态为推荐","1.点击产品右侧操作
2.选中推荐普通","1.下拉显示推荐普通+推荐精选+取消推荐
2.推荐失败",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),操作--推荐普通（原推荐状态为精选）,"1.已登录系统级账号
2.已进入产品推荐页面
3.已有产品，状态为精选","1.点击产品右侧操作
2.选中推荐普通","1.下拉显示推荐普通+推荐精选+取消推荐
2.推荐成功，列表推荐状态为“推荐”",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),操作--推荐精选（原推荐状态为未推荐）,"1.已登录系统级账号
2.已进入产品推荐页面
3.已有产品，状态未推荐","1.点击产品右侧操作
2.选中推荐精选","1.下拉显示推荐普通+推荐精选+取消推荐
2.推荐成功，列表推荐状态为“精选”",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),操作--推荐精选（原推荐状态为推荐）,"1.已登录系统级账号
2.已进入产品推荐页面
3.已有产品，状态为推荐","1.点击产品右侧操作
2.选中推荐精选","1.下拉显示推荐普通+推荐精选+取消推荐
2.推荐成功，列表推荐状态为“精选”",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),操作--推荐精选（原推荐状态为精选）,"1.已登录系统级账号
2.已进入产品推荐页面
3.已有产品，状态为精选","1.点击产品右侧操作
2.选中推荐精选","1.下拉显示推荐普通+推荐精选+取消推荐
2.推荐失败",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),操作--取消推荐（原推荐状态为未推荐）,"1.已登录系统级账号
2.已进入产品推荐页面
3.已有产品","1.点击产品右侧操作
2.选中取消推荐","1.下拉显示推荐普通+推荐精选+取消推荐
2.取消推荐失败",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),操作--取消推荐（原推荐状态为推荐）,"1.已登录系统级账号
2.已进入产品推荐页面
3.已有产品","1.点击产品右侧操作
2.选中取消推荐","1.下拉显示推荐普通+推荐精选+取消推荐
2.取消推荐成功，状态显示为“未推荐”",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),操作--取消推荐（原推荐状态为精选）,"1.已登录系统级账号
2.已进入产品推荐页面
3.已有产品","1.点击产品右侧操作
2.选中取消推荐","1.下拉显示推荐普通+推荐精选+取消推荐
2.取消推荐成功，状态显示为“未推荐”",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),列表底部--向右翻页>,"1.已登录系统级账号
2.列表内有多页产品记录",1.点击列表底部向右翻页>,1.列表向右翻一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),列表底部--向左翻页<,"1.已登录系统级账号
2.列表内有多页产品记录",1.点击列表底部向左翻页<,1.列表向左翻一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),列表底部--向右翻页》,"1.已登录系统级账号
2.列表内有多页产品记录",1.点击列表底部向右翻页》,1.列表向右翻到最大页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),列表底部--向左翻页《,"1.已登录系统级账号
2.列表内有多页产品记录",1.点击列表底部向左翻页《,1.列表向左翻到第一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),列表底部--指定翻页（小于最大页）,"1.已登录系统级账号
2.列表内有多页产品记录",1.页数内输入小于最大页数整数,1.直接跳转到指定页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),列表底部--指定翻页（等于最大页）,"1.已登录系统级账号
2.列表内有多页产品记录",1.页数内输入最大页数整数,1.直接跳转到最后一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),列表底部--指定翻页（大于最大页）,"1.已登录系统级账号
2.列表内有多页产品记录",1.页数内输入大于最大页数整数,1.直接跳转到最后一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),列表底部--指定翻页（非数字）,"1.已登录系统级账号
2.列表内有多页产品记录",1.页数内输入大写数字,1.不可输入,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),产品推荐页面顶部模块跳转,"1.已登录系统级账号
2.已进入产品推荐页面",1.点击顶部模块--计调中心、资源中心、系统中心、销售中心、财务中心,1.左侧显示相应模块菜单，产品推荐页面不变,3,功能测试,功能测试阶段
